['09190', '293107']
['09202', '409814']
['09217', '354411']
['09222', '378212']
['09226', '160599', '181801', '268806']
['09235', '321409']
['09237', '146299']
['09240', '081394']
['09249', '162400']
['09255', '163100']
['09256', '343310']
['09286', '130498']
['09288', '157899']
['09295', '220703']
['09304', '288207']
['09316', '282807']
['09338', '062793']
['09345', '177200']
['09351', '174600']
['09353', '280607']
['09373', '145299']
['09374', '302308']
['09400', '059993']
['09406', '126197']
['09409', '267206']
['09411', '281607', '353611']
['09434', '327309']
['09436', '211803', '295208']
['09459', '333310']
['09463', '407814']
['09468', '351411']
['09469', '207102']
['09470', '042992']
['09474', '244805']
['09484', '160599']
['09485', '056393']
['09490', '380612']
['09504', '134298']
['09516', '047492']
['09520', '192401']
['09566', '152899']
['09567', '234204']
['09570', '259405']
['09572', '135498']
['09583', '439016']
['09585', '273306']
['09586', '175100']
['09620', '133698']
['09623', '283007']
['09626', '128997']
['09642', '427715']
['09644', '076394']
['09646', '171400']
['09654', '069594', '110896']
['09665', '106796']
['09669', '106896']
['09676', '251405']
['09680', '388713']
['09688', '061893']
['09689', '381613']
['09691', '395113']
['09705', '401114']
['09706', '387613']
['09710', '152199']
['09721', '358711']
['09735', '406314']
['09739', '399414']
['09743', '270306']
['09759', '146999']
['09761', '159499', '387413']
['09817', '368312']
['09820', '255705']
['09827', '284707']
['09837', '400514']
['09855', '137098']
['09859', '357811']
['09863', '232704']
['09873', '130398', '410014']
['09879', '420315']
['09880', '067394']
['09884', '049192']
['09889', '094195']
['09909', '119797']
['09913', '299108']
['09914', '240604']
['09916', '401814']
['09920', '258405']
['09923', '115597']
['09941', '058993']
['09966', '357211']
['09967', '422115']
['10017', '065093']
['10031', '146799', '329710', '431615']
['10033', '290507']
['10057', '404814']
['10072', '185901']
['10074', '366012']
['10081', '256905']
['10086', '367512']
['10093', '267506']
['10100', '260305']
['10115', '350911']
['10121', '300308']
['10137', '229604', '294407']
['10143', '249005']
['10147', '217103']
['10168', '156099']
['10191', '061693']
['10199', '324309']
['10206', '269706']
['10210', '166200']
['10211', '221003']
['10215', '126597']
['10220', '171000']
['10234', '127097']
['10236', '358411']
['10244', '243104']
['10250', '409914']
['10251', '190601']
['10266', '421915']
['10277', '291007']
['10291', '120197']
['10299', '341810']
['10301', '308808']
['10311', '365812']
['10327', '398313']
['10329', '339410']
['10333', '241504', '343410']
['10337', '382113']
['10338', '209402']
['10341', '122997']
['10342', '216503']
['10349', '417915']
['10350', '346711']
['10354', '356711']
['10362', '224503']
['10364', '182101']
['10368', '366912']
['10372', '398313']
['10375', '080494']
['10387', '168400']
['10388', '315209']
['10404', '134998', '270006']
['10412', '388613']
['10416', '435016']
['10421', '322209']
['10425', '200302']
['10432', '251605']
['10457', '208302']
['10461', '085195']
['10464', '345710']
['10465', '160099']
['10474', '377612']
['10479', '252905']
['10484', '101396']
['10490', '048992']
['10491', '434315']
['10498', '385013']
['10503', '065493']
['10518', '291907']
['10523', '218903']
['10528', '264106']
['10531', '056793']
['10540', '106096']
['10542', '186501']
['10546', '288107']
['10550', '317609']
['10556', '088195']
['10558', '365312']
['10570', '433515']
['10574', '143498']
['10587', '266606']
['10588', '349211']
['10594', '340410']
['10598', '097195', '390313']
['10608', '254405']
['10615', '430615']
['10616', '311109']
['10635', '063393']
['10643', '330010']
['10644', '417215']
['10645', '246405']
['10646', '390913']
['10671', '295508']
['10673', '437116']
['10687', '169300']
['10694', '431915']
['10706', '175500']
['10731', '126097']
['10737', '415114']
['10750', '380212']
['10778', '301608']
['10790', '127797']
['10794', '064993', '416014']
['10814', '365812']
['10846', '330610']
['10847', '340610']
['10859', '147399']
['10863', '426315']
['10864', '076994']
['10883', '223303']
['10887', '259305']
['10894', '165800']
['10910', '370212']
['10914', '152699', '313309']
['10921', '431715']
['10942', '092495']
['10953', '110996']
['10960', '250805']
['10970', '346911']
['10981', '229404']
['10986', '371912']
['10997', '380312']
['11002', '301808']
['11004', '065893']
['11007', '423115']
['11019', '373812']
['11021', '224403']
['11024', '368412']
['11059', '190401']
['11077', '363812']
['11087', '427215']
['11090', '438616']
['11093', '088795']
['11104', '132698']
['11109', '104096', '118997']
['11113', '170800']
['11119', '357711']
['11128', '042092']
['11138', '040992']
['11141', '405314']
['11155', '068294']
['11169', '155499']
['11185', '080894']
['11188', '042292']
['11220', '141898']
['11225', '079094']
['11228', '059493']
['11241', '293107']
['11308', '416814']
['11318', '386913']
['11319', '264006']
['11337', '128397', '419515']
['11339', '207402', '405914']
['11347', '156499']
['11354', '185001']
['11373', '179501']
['11375', '196602']
['11394', '200902']
['11398', '215303']
['11401', '302908']
['11405', '372012']
['11407', '395313']
['11410', '417415']
['11421', '361011']
['11425', '244305']
['11428', '161399']
['11429', '144198']
['11437', '089095']
['11438', '139898']
['11439', '390113']
['11446', '364012']
['11453', '350411']
['11461', '403114']
['11465', '397313']
['11469', '282707']
['11487', '056293']
['11512', '043192']
['11518', '331510']
['11525', '218703']
['11526', '042992']
['11527', '074894']
['11533', '125697']
['11536', '323309']
['11537', '259905']
['11545', '191601']
['11546', '403614']
['11563', '430615']
['11571', '323409']
['11587', '249405']
['11612', '404114']
['11618', '097195']
['11635', '312409']
['11640', '101096']
['11644', '058093']
['11661', '179201']
['11666', '430815']
['11682', '351011']
['11686', '382813']
['11708', '230504']
['11710', '278307']
['11742', '201302']
['11747', '375012']
['11748', '081394']
['11762', '220503']
['11765', '350711']
['11771', '373912']
['11773', '082895']
['11779', '103196']
['11786', '431915']
['11788', '101796', '231404']
['11794', '403314']
['11807', '176900']
['11813', '117297']
['11814', '137398', '355611']
['11819', '089595']
['11821', '101496']
['11829', '277907']
['11830', '239904']
['11842', '168800']
['11848', '182601']
['11849', '074394']
['11851', '263606']
['11859', '072694']
['11863', '384413']
['11884', '262706']
['11886', '399013']
['11888', '234804', '243404']
['11891', '436416']
['11893', '131798']
['11897', '278807']
['11918', '362111']
['11925', '231804']
['11926', '135498']
['11929', '093195']
['11930', '322209']
['11949', '123697']
['11950', '100196']
['11959', '184901', '381613']
['11967', '047492', '291207']
['11996', '140698']
['12017', '107196']
['12034', '320109']
['12042', '150499']
['12048', '310008']
['12057', '221403']
['12059', '190401']
['12063', '188701']
['12065', '235804']
['12077', '279907']
['12083', '245805']
['12092', '424015']
['12097', '363511']
['12107', '290107']
['12124', '349311']
['12127', '170600']
['12129', '431815']
['12144', '315209']
['12146', '151299']
['12147', '106496']
['12150', '090195']
['12161', '338910']
['12163', '118597']
['12165', '084595']
['12168', '383913']
['12194', '276606', '332410']
['12204', '402414']
['12214', '127997']
['12218', '095595']
['12221', '165300']
['12232', '120997']
['12233', '314209']
['12245', '428615']
['12252', '356511']
['12255', '275706']
['12269', '383213']
['12277', '275006']
['12288', '148999']
['12292', '300608']
['12306', '216903']
['12309', '211403']
['12312', '123397']
['12315', '255805']
['12326', '139098']
['12330', '224103']
['12347', '264606']
['12361', '439016']
['12426', '354311']
['12427', '324009']
['12435', '071494']
['12440', '326309']
['12454', '320009']
['12458', '082895']
['12461', '064693']
['12465', '125497', '244405']
['12466', '295708']
['12477', '141298']
['12480', '287807']
['12491', '283907']
['12499', '068194']
['12505', '434715']
['12513', '372312']
['12515', '363211']
['12520', '378912']
['12532', '047892']
['12537', '097495']
['12538', '084795']
['12540', '103996']
['12551', '352611']
['12555', '339010']
['12564', '325709']
['12574', '284207']
['12583', '417815']
['12586', '434415']
['12595', '107896']
['12610', '198602']
['12628', '181401', '226503']
['12641', '413714']
['12642', '372712']
['12646', '233004']
['12647', '082094']
['12668', '170500']
['12680', '077494']
['12685', '174000']
['12710', '112696']
['12718', '173400']
['12726', '240304']
['12746', '108096']
['12749', '429915']
['12757', '328009']
['12771', '057093']
['12773', '394313']
['12774', '324709']
['12778', '341210']
['12798', '333410']
['12810', '068794']
['12811', '174800']
['12817', '171200']
['12835', '402114']
['12852', '065793']
['12856', '204702']
['12857', '205902']
['12860', '410514']
['12864', '257705']
['12871', '351111']
['12873', '262506']
['12879', '282007']
['12894', '361811']
['12895', '203502']
['12896', '069594']
['12897', '428315']
['12906', '092395']
['12913', '125897']
['12921', '196002']
['12939', '378712']
['12940', '166800']
['12956', '207202']
['12962', '174900']
['12977', '292207']
['12981', '049592']
['12983', '408314']
['12989', '059093']
['12992', '338810', '370812']
['12997', '052993']
['12998', '155999']
['13000', '420115']
['13001', '343010']
['13004', '224303']
